feature,importance
consequences,2.0036056147532122e-16
the movie is,1.9949319973733282e-16
movie is,1.9949319973733282e-16
film tone is,1.9905951886833861e-16
that it,1.9884267843384151e-16
is both entertaining,1.960237527853792e-16
is compared,1.960237527853792e-16
is compared to,1.960237527853792e-16
both entertaining and,1.960237527853792e-16
both entertaining,1.960237527853792e-16
boogie man is,1.951563910473908e-16
to its,1.942890293094024e-16
is powerful and,1.9255430583342559e-16
but overall,1.9081958235744878e-16
lacks,1.8973538018496328e-16
and influential,1.8908485888147197e-16
20th century,1.8908485888147197e-16
influential,1.8908485888147197e-16
20th,1.8908485888147197e-16
dirty,1.8908485888147197e-16
historian,1.8767539605724082e-16
narration,1.8767539605724082e-16
text contains reviews,1.8735013540549517e-16
contains reviews,1.8735013540549517e-16
contains reviews and,1.8735013540549517e-16
must,1.8474805019152996e-16
to the original,1.8388068845354155e-16
topic,1.8388068845354155e-16
potential,1.8388068845354155e-16
films,1.833385873672988e-16
audience,1.8323016715005025e-16
zipper,1.8257964584655895e-16
provoking and emotionally,1.8236280541206185e-16
influence,1.8236280541206185e-16
the cast including,1.8214596497756474e-16
that is worth,1.8214596497756474e-16
shot,1.8084492237058214e-16
it is must,1.8084492237058214e-16
about the,1.8041124150158794e-16
atwater notorious and,1.7867651802561113e-16
atwater notorious,1.7867651802561113e-16
lee atwater notorious,1.7867651802561113e-16
notorious and influential,1.7867651802561113e-16
notorious,1.7867651802561113e-16
notorious and,1.7867651802561113e-16
ending,1.7824283715661693e-16
for anyone,1.7780915628762273e-16
anyone,1.7780915628762273e-16
emotionally resonant film,1.7667074400651295e-16
resonant film that,1.7667074400651295e-16
resonant film,1.7667074400651295e-16
and unsettling,1.7607443281164592e-16
unsettling,1.7607443281164592e-16
pacing and tone,1.7585759237714882e-16
strong performance,1.7488181042191187e-16
classic and,1.734723475976807e-16
fully,1.734723475976807e-16
audience the,1.71954464556201e-16
watch,1.713039432527097e-16
jean,1.7070763205784267e-16
of war,1.702807274524265e-16
war and,1.702807274524265e-16
of war and,1.702807274524265e-16
unbridled emotion directed,1.6978606021123e-16
of color is,1.6978606021123e-16
that sticks,1.6978606021123e-16
of desire battle,1.6978606021123e-16
sticks,1.6978606021123e-16
the mind,1.6978606021123e-16
on thames,1.6978606021123e-16
of hollywood,1.6978606021123e-16
of hollywood on,1.6978606021123e-16
of color,1.6978606021123e-16
trompe oeil,1.6978606021123e-16
trompe,1.6978606021123e-16
of the dangers,1.6978606021123e-16
film production,1.6978606021123e-16
the mind the,1.6978606021123e-16
sticks in the,1.6978606021123e-16
that sticks in,1.6978606021123e-16
