Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,0.9,"{'student': {'precision': 0.833, 'recall': 1.0, 'f1-score': 0.909, 'support': 10.0}, 'teacher': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.889, 'support': 10.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.917, 'recall': 0.9, 'f1-score': 0.899, 'support': 20.0}, 'weighted avg': {'precision': 0.917, 'recall': 0.9, 'f1-score': 0.899, 'support': 20.0}}"
gpt2_gemma2_9b,mixtral,0.85,"{'student': {'precision': 0.769, 'recall': 1.0, 'f1-score': 0.87, 'support': 10.0}, 'teacher': {'precision': 1.0, 'recall': 0.7, 'f1-score': 0.824, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.885, 'recall': 0.85, 'f1-score': 0.847, 'support': 20.0}, 'weighted avg': {'precision': 0.885, 'recall': 0.85, 'f1-score': 0.847, 'support': 20.0}}"
gpt2_gemma2_9b,llama70b,0.2,"{'student': {'precision': 0.125, 'recall': 0.1, 'f1-score': 0.111, 'support': 10.0}, 'teacher': {'precision': 0.25, 'recall': 0.3, 'f1-score': 0.273, 'support': 10.0}, 'accuracy': 0.2, 'macro avg': {'precision': 0.188, 'recall': 0.2, 'f1-score': 0.192, 'support': 20.0}, 'weighted avg': {'precision': 0.188, 'recall': 0.2, 'f1-score': 0.192, 'support': 20.0}}"
gpt2_llama8b,mixtral,0.95,"{'student': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'teacher': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_llama8b,llama70b,0.95,"{'student': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'teacher': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_mixtral,llama70b,0.95,"{'student': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'teacher': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
