Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,0.33,"{'student': {'precision': 0.327, 'recall': 0.321, 'f1-score': 0.324, 'support': 56.0}, 'teacher': {'precision': 0.333, 'recall': 0.339, 'f1-score': 0.336, 'support': 56.0}, 'accuracy': 0.33035714285714285, 'macro avg': {'precision': 0.33, 'recall': 0.33, 'f1-score': 0.33, 'support': 112.0}, 'weighted avg': {'precision': 0.33, 'recall': 0.33, 'f1-score': 0.33, 'support': 112.0}}"
gpt2_gemma2_9b,mixtral,0.938,"{'student': {'precision': 0.93, 'recall': 0.946, 'f1-score': 0.938, 'support': 56.0}, 'teacher': {'precision': 0.945, 'recall': 0.929, 'f1-score': 0.937, 'support': 56.0}, 'accuracy': 0.9375, 'macro avg': {'precision': 0.938, 'recall': 0.938, 'f1-score': 0.937, 'support': 112.0}, 'weighted avg': {'precision': 0.938, 'recall': 0.938, 'f1-score': 0.937, 'support': 112.0}}"
gpt2_gemma2_9b,llama70b,0.902,"{'student': {'precision': 0.925, 'recall': 0.875, 'f1-score': 0.899, 'support': 56.0}, 'teacher': {'precision': 0.881, 'recall': 0.929, 'f1-score': 0.904, 'support': 56.0}, 'accuracy': 0.9017857142857143, 'macro avg': {'precision': 0.903, 'recall': 0.902, 'f1-score': 0.902, 'support': 112.0}, 'weighted avg': {'precision': 0.903, 'recall': 0.902, 'f1-score': 0.902, 'support': 112.0}}"
gpt2_llama8b,mixtral,0.991,"{'student': {'precision': 1.0, 'recall': 0.982, 'f1-score': 0.991, 'support': 56.0}, 'teacher': {'precision': 0.982, 'recall': 1.0, 'f1-score': 0.991, 'support': 56.0}, 'accuracy': 0.9910714285714286, 'macro avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}, 'weighted avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}}"
gpt2_llama8b,llama70b,0.991,"{'student': {'precision': 1.0, 'recall': 0.982, 'f1-score': 0.991, 'support': 56.0}, 'teacher': {'precision': 0.982, 'recall': 1.0, 'f1-score': 0.991, 'support': 56.0}, 'accuracy': 0.9910714285714286, 'macro avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}, 'weighted avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}}"
gpt2_mixtral,llama70b,0.964,"{'student': {'precision': 0.981, 'recall': 0.946, 'f1-score': 0.964, 'support': 56.0}, 'teacher': {'precision': 0.948, 'recall': 0.982, 'f1-score': 0.965, 'support': 56.0}, 'accuracy': 0.9642857142857143, 'macro avg': {'precision': 0.965, 'recall': 0.964, 'f1-score': 0.964, 'support': 112.0}, 'weighted avg': {'precision': 0.965, 'recall': 0.964, 'f1-score': 0.964, 'support': 112.0}}"
