Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.768,"{'gpt2_gemma2_9b': {'precision': 0.75, 'recall': 0.804, 'f1-score': 0.776, 'support': 56.0}, 'gpt2_llama8b': {'precision': 0.788, 'recall': 0.732, 'f1-score': 0.759, 'support': 56.0}, 'accuracy': 0.7678571428571429, 'macro avg': {'precision': 0.769, 'recall': 0.768, 'f1-score': 0.768, 'support': 112.0}, 'weighted avg': {'precision': 0.769, 'recall': 0.768, 'f1-score': 0.768, 'support': 112.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.75,"{'gpt2_gemma2_9b': {'precision': 0.792, 'recall': 0.679, 'f1-score': 0.731, 'support': 56.0}, 'gpt2_mixtral': {'precision': 0.719, 'recall': 0.821, 'f1-score': 0.767, 'support': 56.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.755, 'recall': 0.75, 'f1-score': 0.749, 'support': 112.0}, 'weighted avg': {'precision': 0.755, 'recall': 0.75, 'f1-score': 0.749, 'support': 112.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.866,"{'gpt2_gemma2_9b': {'precision': 0.873, 'recall': 0.857, 'f1-score': 0.865, 'support': 56.0}, 'gpt2_llama70b': {'precision': 0.86, 'recall': 0.875, 'f1-score': 0.867, 'support': 56.0}, 'accuracy': 0.8660714285714286, 'macro avg': {'precision': 0.866, 'recall': 0.866, 'f1-score': 0.866, 'support': 112.0}, 'weighted avg': {'precision': 0.866, 'recall': 0.866, 'f1-score': 0.866, 'support': 112.0}}"
gpt2_llama8b,gpt2_mixtral,0.732,"{'gpt2_llama8b': {'precision': 0.717, 'recall': 0.768, 'f1-score': 0.741, 'support': 56.0}, 'gpt2_mixtral': {'precision': 0.75, 'recall': 0.696, 'f1-score': 0.722, 'support': 56.0}, 'accuracy': 0.7321428571428571, 'macro avg': {'precision': 0.733, 'recall': 0.732, 'f1-score': 0.732, 'support': 112.0}, 'weighted avg': {'precision': 0.733, 'recall': 0.732, 'f1-score': 0.732, 'support': 112.0}}"
gpt2_llama8b,gpt2_llama70b,0.67,"{'gpt2_llama70b': {'precision': 0.721, 'recall': 0.554, 'f1-score': 0.626, 'support': 56.0}, 'gpt2_llama8b': {'precision': 0.638, 'recall': 0.786, 'f1-score': 0.704, 'support': 56.0}, 'accuracy': 0.6696428571428571, 'macro avg': {'precision': 0.679, 'recall': 0.67, 'f1-score': 0.665, 'support': 112.0}, 'weighted avg': {'precision': 0.679, 'recall': 0.67, 'f1-score': 0.665, 'support': 112.0}}"
gpt2_mixtral,gpt2_llama70b,0.786,"{'gpt2_llama70b': {'precision': 0.921, 'recall': 0.625, 'f1-score': 0.745, 'support': 56.0}, 'gpt2_mixtral': {'precision': 0.716, 'recall': 0.946, 'f1-score': 0.815, 'support': 56.0}, 'accuracy': 0.7857142857142857, 'macro avg': {'precision': 0.819, 'recall': 0.786, 'f1-score': 0.78, 'support': 112.0}, 'weighted avg': {'precision': 0.819, 'recall': 0.786, 'f1-score': 0.78, 'support': 112.0}}"
