Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,0.667,"{'student': {'precision': 0.625, 'recall': 0.714, 'f1-score': 0.667, 'support': 7.0}, 'teacher': {'precision': 0.714, 'recall': 0.625, 'f1-score': 0.667, 'support': 8.0}, 'accuracy': 0.6666666666666666, 'macro avg': {'precision': 0.67, 'recall': 0.67, 'f1-score': 0.667, 'support': 15.0}, 'weighted avg': {'precision': 0.673, 'recall': 0.667, 'f1-score': 0.667, 'support': 15.0}}"
gpt2_gemma2_9b,mixtral,1.0,"{'student': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 7.0}, 'teacher': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 8.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 15.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 15.0}}"
gpt2_gemma2_9b,llama70b,0.667,"{'student': {'precision': 0.625, 'recall': 0.714, 'f1-score': 0.667, 'support': 7.0}, 'teacher': {'precision': 0.714, 'recall': 0.625, 'f1-score': 0.667, 'support': 8.0}, 'accuracy': 0.6666666666666666, 'macro avg': {'precision': 0.67, 'recall': 0.67, 'f1-score': 0.667, 'support': 15.0}, 'weighted avg': {'precision': 0.673, 'recall': 0.667, 'f1-score': 0.667, 'support': 15.0}}"
gpt2_llama8b,mixtral,1.0,"{'student': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 8.0}, 'teacher': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 8.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 16.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 16.0}}"
gpt2_llama8b,llama70b,0.688,"{'student': {'precision': 0.714, 'recall': 0.625, 'f1-score': 0.667, 'support': 8.0}, 'teacher': {'precision': 0.667, 'recall': 0.75, 'f1-score': 0.706, 'support': 8.0}, 'accuracy': 0.6875, 'macro avg': {'precision': 0.69, 'recall': 0.688, 'f1-score': 0.686, 'support': 16.0}, 'weighted avg': {'precision': 0.69, 'recall': 0.688, 'f1-score': 0.686, 'support': 16.0}}"
gpt2_mixtral,llama70b,1.0,"{'student': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 8.0}, 'teacher': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 9.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 17.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 17.0}}"
