Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.965,"{'student': {'precision': 0.97, 'recall': 0.941, 'f1-score': 0.955, 'support': 34.0}, 'teacher': {'precision': 0.962, 'recall': 0.981, 'f1-score': 0.971, 'support': 52.0}, 'accuracy': 0.9651162790697675, 'macro avg': {'precision': 0.966, 'recall': 0.961, 'f1-score': 0.963, 'support': 86.0}, 'weighted avg': {'precision': 0.965, 'recall': 0.965, 'f1-score': 0.965, 'support': 86.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.989,"{'student': {'precision': 0.971, 'recall': 1.0, 'f1-score': 0.986, 'support': 34.0}, 'teacher': {'precision': 1.0, 'recall': 0.982, 'f1-score': 0.991, 'support': 55.0}, 'accuracy': 0.9887640449438202, 'macro avg': {'precision': 0.986, 'recall': 0.991, 'f1-score': 0.988, 'support': 89.0}, 'weighted avg': {'precision': 0.989, 'recall': 0.989, 'f1-score': 0.989, 'support': 89.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.964,"{'student': {'precision': 0.97, 'recall': 0.941, 'f1-score': 0.955, 'support': 34.0}, 'teacher': {'precision': 0.961, 'recall': 0.98, 'f1-score': 0.97, 'support': 50.0}, 'accuracy': 0.9642857142857143, 'macro avg': {'precision': 0.965, 'recall': 0.961, 'f1-score': 0.963, 'support': 84.0}, 'weighted avg': {'precision': 0.964, 'recall': 0.964, 'f1-score': 0.964, 'support': 84.0}}"
gpt2_llama8b,gpt2_mixtral,0.991,"{'student': {'precision': 0.981, 'recall': 1.0, 'f1-score': 0.99, 'support': 51.0}, 'teacher': {'precision': 1.0, 'recall': 0.982, 'f1-score': 0.991, 'support': 55.0}, 'accuracy': 0.9905660377358491, 'macro avg': {'precision': 0.99, 'recall': 0.991, 'f1-score': 0.991, 'support': 106.0}, 'weighted avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 106.0}}"
gpt2_llama8b,gpt2_llama70b,0.941,"{'student': {'precision': 0.979, 'recall': 0.902, 'f1-score': 0.939, 'support': 51.0}, 'teacher': {'precision': 0.907, 'recall': 0.98, 'f1-score': 0.942, 'support': 50.0}, 'accuracy': 0.9405940594059405, 'macro avg': {'precision': 0.943, 'recall': 0.941, 'f1-score': 0.941, 'support': 101.0}, 'weighted avg': {'precision': 0.943, 'recall': 0.941, 'f1-score': 0.941, 'support': 101.0}}"
gpt2_mixtral,gpt2_llama70b,0.981,"{'student': {'precision': 0.965, 'recall': 1.0, 'f1-score': 0.982, 'support': 55.0}, 'teacher': {'precision': 1.0, 'recall': 0.96, 'f1-score': 0.98, 'support': 50.0}, 'accuracy': 0.9809523809523809, 'macro avg': {'precision': 0.982, 'recall': 0.98, 'f1-score': 0.981, 'support': 105.0}, 'weighted avg': {'precision': 0.982, 'recall': 0.981, 'f1-score': 0.981, 'support': 105.0}}"
