Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.756,"{'gpt2_gemma2_9b': {'precision': 0.697, 'recall': 0.676, 'f1-score': 0.687, 'support': 34.0}, 'gpt2_llama8b': {'precision': 0.792, 'recall': 0.808, 'f1-score': 0.8, 'support': 52.0}, 'accuracy': 0.7558139534883721, 'macro avg': {'precision': 0.745, 'recall': 0.742, 'f1-score': 0.743, 'support': 86.0}, 'weighted avg': {'precision': 0.755, 'recall': 0.756, 'f1-score': 0.755, 'support': 86.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.978,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.941, 'f1-score': 0.97, 'support': 34.0}, 'gpt2_mixtral': {'precision': 0.965, 'recall': 1.0, 'f1-score': 0.982, 'support': 55.0}, 'accuracy': 0.9775280898876404, 'macro avg': {'precision': 0.982, 'recall': 0.971, 'f1-score': 0.976, 'support': 89.0}, 'weighted avg': {'precision': 0.978, 'recall': 0.978, 'f1-score': 0.977, 'support': 89.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.833,"{'gpt2_gemma2_9b': {'precision': 0.778, 'recall': 0.824, 'f1-score': 0.8, 'support': 34.0}, 'gpt2_llama70b': {'precision': 0.875, 'recall': 0.84, 'f1-score': 0.857, 'support': 50.0}, 'accuracy': 0.8333333333333334, 'macro avg': {'precision': 0.826, 'recall': 0.832, 'f1-score': 0.829, 'support': 84.0}, 'weighted avg': {'precision': 0.836, 'recall': 0.833, 'f1-score': 0.834, 'support': 84.0}}"
gpt2_llama8b,gpt2_mixtral,1.0,"{'gpt2_llama8b': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 51.0}, 'gpt2_mixtral': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 55.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 106.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 106.0}}"
gpt2_llama8b,gpt2_llama70b,0.802,"{'gpt2_llama70b': {'precision': 0.768, 'recall': 0.86, 'f1-score': 0.811, 'support': 50.0}, 'gpt2_llama8b': {'precision': 0.844, 'recall': 0.745, 'f1-score': 0.792, 'support': 51.0}, 'accuracy': 0.801980198019802, 'macro avg': {'precision': 0.806, 'recall': 0.803, 'f1-score': 0.801, 'support': 101.0}, 'weighted avg': {'precision': 0.807, 'recall': 0.802, 'f1-score': 0.801, 'support': 101.0}}"
gpt2_mixtral,gpt2_llama70b,0.971,"{'gpt2_llama70b': {'precision': 0.98, 'recall': 0.96, 'f1-score': 0.97, 'support': 50.0}, 'gpt2_mixtral': {'precision': 0.964, 'recall': 0.982, 'f1-score': 0.973, 'support': 55.0}, 'accuracy': 0.9714285714285714, 'macro avg': {'precision': 0.972, 'recall': 0.971, 'f1-score': 0.971, 'support': 105.0}, 'weighted avg': {'precision': 0.972, 'recall': 0.971, 'f1-score': 0.971, 'support': 105.0}}"
