Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,0.991,"{'student': {'precision': 1.0, 'recall': 0.982, 'f1-score': 0.991, 'support': 56.0}, 'teacher': {'precision': 0.982, 'recall': 1.0, 'f1-score': 0.991, 'support': 56.0}, 'accuracy': 0.9910714285714286, 'macro avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}, 'weighted avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}}"
gpt2_gemma2_9b,mixtral,0.991,"{'student': {'precision': 1.0, 'recall': 0.982, 'f1-score': 0.991, 'support': 56.0}, 'teacher': {'precision': 0.982, 'recall': 1.0, 'f1-score': 0.991, 'support': 56.0}, 'accuracy': 0.9910714285714286, 'macro avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}, 'weighted avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}}"
gpt2_gemma2_9b,llama70b,0.991,"{'student': {'precision': 1.0, 'recall': 0.982, 'f1-score': 0.991, 'support': 56.0}, 'teacher': {'precision': 0.982, 'recall': 1.0, 'f1-score': 0.991, 'support': 56.0}, 'accuracy': 0.9910714285714286, 'macro avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}, 'weighted avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}}"
gpt2_llama8b,mixtral,0.92,"{'student': {'precision': 0.927, 'recall': 0.911, 'f1-score': 0.919, 'support': 56.0}, 'teacher': {'precision': 0.912, 'recall': 0.929, 'f1-score': 0.92, 'support': 56.0}, 'accuracy': 0.9196428571428571, 'macro avg': {'precision': 0.92, 'recall': 0.92, 'f1-score': 0.92, 'support': 112.0}, 'weighted avg': {'precision': 0.92, 'recall': 0.92, 'f1-score': 0.92, 'support': 112.0}}"
gpt2_llama8b,llama70b,0.991,"{'student': {'precision': 1.0, 'recall': 0.982, 'f1-score': 0.991, 'support': 56.0}, 'teacher': {'precision': 0.982, 'recall': 1.0, 'f1-score': 0.991, 'support': 56.0}, 'accuracy': 0.9910714285714286, 'macro avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}, 'weighted avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}}"
gpt2_mixtral,llama70b,0.991,"{'student': {'precision': 1.0, 'recall': 0.982, 'f1-score': 0.991, 'support': 56.0}, 'teacher': {'precision': 0.982, 'recall': 1.0, 'f1-score': 0.991, 'support': 56.0}, 'accuracy': 0.9910714285714286, 'macro avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}, 'weighted avg': {'precision': 0.991, 'recall': 0.991, 'f1-score': 0.991, 'support': 112.0}}"
