Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,0.98,"{'student': {'precision': 0.985, 'recall': 0.97, 'f1-score': 0.977, 'support': 67.0}, 'teacher': {'precision': 0.977, 'recall': 0.988, 'f1-score': 0.983, 'support': 86.0}, 'accuracy': 0.9803921568627451, 'macro avg': {'precision': 0.981, 'recall': 0.979, 'f1-score': 0.98, 'support': 153.0}, 'weighted avg': {'precision': 0.98, 'recall': 0.98, 'f1-score': 0.98, 'support': 153.0}}"
gpt2_gemma2_9b,mixtral,0.975,"{'student': {'precision': 0.956, 'recall': 0.985, 'f1-score': 0.97, 'support': 66.0}, 'teacher': {'precision': 0.989, 'recall': 0.968, 'f1-score': 0.978, 'support': 93.0}, 'accuracy': 0.9748427672955975, 'macro avg': {'precision': 0.972, 'recall': 0.976, 'f1-score': 0.974, 'support': 159.0}, 'weighted avg': {'precision': 0.975, 'recall': 0.975, 'f1-score': 0.975, 'support': 159.0}}"
gpt2_gemma2_9b,llama70b,0.98,"{'student': {'precision': 0.957, 'recall': 1.0, 'f1-score': 0.978, 'support': 67.0}, 'teacher': {'precision': 1.0, 'recall': 0.965, 'f1-score': 0.982, 'support': 85.0}, 'accuracy': 0.9802631578947368, 'macro avg': {'precision': 0.979, 'recall': 0.982, 'f1-score': 0.98, 'support': 152.0}, 'weighted avg': {'precision': 0.981, 'recall': 0.98, 'f1-score': 0.98, 'support': 152.0}}"
gpt2_llama8b,mixtral,0.989,"{'student': {'precision': 0.988, 'recall': 0.988, 'f1-score': 0.988, 'support': 86.0}, 'teacher': {'precision': 0.989, 'recall': 0.989, 'f1-score': 0.989, 'support': 93.0}, 'accuracy': 0.9888268156424581, 'macro avg': {'precision': 0.989, 'recall': 0.989, 'f1-score': 0.989, 'support': 179.0}, 'weighted avg': {'precision': 0.989, 'recall': 0.989, 'f1-score': 0.989, 'support': 179.0}}"
gpt2_llama8b,llama70b,0.93,"{'student': {'precision': 0.941, 'recall': 0.92, 'f1-score': 0.93, 'support': 87.0}, 'teacher': {'precision': 0.92, 'recall': 0.941, 'f1-score': 0.93, 'support': 85.0}, 'accuracy': 0.9302325581395349, 'macro avg': {'precision': 0.93, 'recall': 0.93, 'f1-score': 0.93, 'support': 172.0}, 'weighted avg': {'precision': 0.93, 'recall': 0.93, 'f1-score': 0.93, 'support': 172.0}}"
gpt2_mixtral,llama70b,0.983,"{'student': {'precision': 0.969, 'recall': 1.0, 'f1-score': 0.984, 'support': 93.0}, 'teacher': {'precision': 1.0, 'recall': 0.965, 'f1-score': 0.982, 'support': 85.0}, 'accuracy': 0.9831460674157303, 'macro avg': {'precision': 0.984, 'recall': 0.982, 'f1-score': 0.983, 'support': 178.0}, 'weighted avg': {'precision': 0.984, 'recall': 0.983, 'f1-score': 0.983, 'support': 178.0}}"
