precision,recall,f1-score,support,model
0.711864406779661,0.7777777777777778,0.7433628318584071,54.0,gpt2_gemma2_9b
0.5898876404494382,0.5614973262032086,0.5753424657534246,187.0,gpt2_llama70b
0.47715736040609136,0.5053763440860215,0.49086161879895557,186.0,gpt2_llama8b
0.5154185022026432,0.585,0.5480093676814989,200.0,gpt2_mistral7b
0.6209150326797386,0.5080213903743316,0.5588235294117647,187.0,gpt2_mixtral
0.5565110565110565,0.5565110565110565,0.5565110565110565,0.5565110565110565,accuracy
0.5830485885035144,0.587534567688268,0.5832799627008102,814.0,macro avg
0.5610512866306135,0.5565110565110565,0.5566741629596437,814.0,weighted avg
